"110年10月 6120 達運             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","1,987,854","21,876,698","11.25","11.30","10.85","10.85","-0.35","991",
"110/10/04","2,991,596","31,237,049","10.95","11.10","10.20","10.20","-0.65","1,653",
"110/10/05","1,930,294","19,799,994","10.10","10.65","9.90","10.60","+0.40","979",
"110/10/06","1,195,310","12,301,306","10.60","10.60","10.05","10.20","-0.40","872",
"110/10/07","1,453,662","15,273,640","10.25","10.60","10.25","10.55","+0.35","655",
"110/10/08","762,112","8,108,296","10.55","10.75","10.55","10.60","+0.05","431",
"110/10/12","753,515","7,926,025","10.50","10.70","10.35","10.40","-0.20","479",
"110/10/13","751,751","7,753,205","10.55","10.55","10.20","10.30","-0.10","495",
"110/10/14","464,701","4,802,080","10.45","10.50","10.20","10.35","+0.05","293",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
