"110年10月 2890 永豐金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","24,755,863","339,907,103","13.85","13.90","13.65","13.70","-0.20","7,735",
"110/10/04","12,359,238","169,670,212","13.75","13.80","13.65","13.75","+0.05","2,982",
"110/10/05","16,882,607","231,947,200","13.70","13.80","13.65","13.80","+0.05","3,750",
"110/10/06","21,139,300","292,123,321","13.80","13.90","13.70","13.90","+0.10","5,316",
"110/10/07","13,234,534","184,145,536","13.90","13.95","13.85","13.90"," 0.00","3,122",
"110/10/08","11,523,548","159,804,586","13.95","13.95","13.80","13.80","-0.10","3,050",
"110/10/12","18,003,378","247,725,864","13.70","13.85","13.65","13.85","+0.05","3,146",
"110/10/13","11,256,405","156,147,120","13.85","13.90","13.80","13.90","+0.05","2,391",
"110/10/14","7,517,330","104,118,541","13.95","13.95","13.80","13.80","-0.10","2,444",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
